deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_liquidated_collateral_usd,total_liquidated_principal_usd,avg_time_gap,min_time_gap,burst_count,total_transactions,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidatcall_usd,is_risky_actual,ML_score_0_1000,score_range
28,21,11,34,0,0.0,0.0,17324698.71276596,18,40,94,1.6892406002174852e+22,2.0065492722441587e+21,2.0180451594691307e+21,2.923750064503098e+22,0.0,1,10,"[0, 100)"
23,11,2,16,0,0.0,0.0,31255410.115384616,0,23,52,3.2036976038924895e+21,1.049526079612699e+20,1018255519.3542258,2.122493052323183e+21,0.0,1,50,"[0, 100)"
1,1,0,1,0,0.0,0.0,542857800.0,198,0,3,1.1191814376473717e+17,9.962208407837088e+16,0.0,5027342.091299836,0.0,1,20,"[0, 100)"
2,0,0,0,0,0.0,0.0,813479266.0,11281,0,2,2.655482113639552e+19,0.0,0.0,0.0,0.0,0,1000,
1,0,0,1,0,0.0,0.0,811999515.0,1354343,0,2,1.0237738923188868e+20,0.0,0.0,8.248886148682798e+19,0.0,0,1000,
9,5,6,9,0,0.0,0.0,56039346.172413796,14,17,29,1.820430175505956e+20,6.533523726302701e+19,6.52322797789231e+19,1.1526356646769458e+20,0.0,0,920,"[900, 1000)"
1,0,0,1,0,0.0,0.0,812382401.5,341832,0,2,1.8927753001820103e+19,0.0,0.0,1.7683043880618041e+19,0.0,0,1000,
3,0,0,3,0,0.0,0.0,271119565.1666667,28,1,6,1.8770890954655767e+21,0.0,0.0,1.9020548350495102e+21,0.0,0,1000,
43,33,10,12,0,0.0,0.0,16615566.173469387,6,78,98,1.0175929606486872e+23,8.126050581192002e+22,8.36662220996004e+22,1.0467821518770867e+23,0.0,1,0,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.6965520006193165e+18,0.0,0.0,0.0,0.0,0,1000,
41,19,12,2,0,0.0,0.0,22033904.06756757,34,8,74,2.4087186527067806e+21,5.571867815462346e+20,5.870759143760561e+20,2.3951603707430332e+20,0.0,0,800,"[800, 900)"
63,32,6,9,0,0.0,0.0,14821257.090909092,0,68,110,6.61434325622046e+23,5.2306597271627426e+23,3.3558992893075043e+22,6.239159956115965e+22,0.0,1,10,"[0, 100)"
3,0,0,2,0,0.0,0.0,324118839.6,466,0,5,1.0008744332882896e+21,0.0,0.0,5.50445506926774e+20,0.0,0,1000,
3,0,0,1,0,0.0,0.0,407221269.25,12,1,4,1.5302859280765002e+18,0.0,0.0,10067769216.079641,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.629363621608802e+17,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.0947877783805774e+18,0.0,0.0,0.0,0.0,0,1000,
1,1,0,0,0,0.0,0.0,814424400.5,14,1,2,1.3574846236951283e+17,1.3574846236951284e+16,0.0,0.0,0.0,1,0,"[0, 100)"
43,30,15,18,0,0.0,0.0,15349060.858490566,0,52,106,2.1479485532271985e+20,1.6077589839118297e+20,1.610948152657663e+20,2.1008559012733947e+20,0.0,1,20,"[0, 100)"
17,2,5,4,0,0.0,0.0,58233497.0,24,8,28,3.583659069234603e+22,7840734118.076705,1222356494.0705082,224038014.45239025,0.0,1,650,"[600, 700)"
2,0,0,0,0,0.0,0.0,812009247.0,0,1,2,1.002734524454364e+16,0.0,0.0,0.0,0.0,0,990,"[900, 1000)"
2,0,0,0,0,0.0,0.0,813376780.5,415836,0,2,2252168.3489091145,0.0,0.0,0.0,0.0,0,1000,
20,2,19,8,0,0.0,0.0,33253958.346938774,20,8,49,1.0219473153455142e+23,29102346732.480896,29362566843.60107,4.843122500027195e+22,0.0,0,830,"[800, 900)"
5,0,0,0,0,0.0,0.0,325373111.4,77786,0,5,4.5608476085520773e+18,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.2660839226404059e+17,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1046637.8254976957,0.0,0.0,0.0,0.0,0,1000,
3,2,2,2,0,0.0,0.0,180401308.7777778,0,8,9,2.225017149965365e+19,1.41950985986324e+19,4.4417598616994043e+18,2.435781040110067e+18,0.0,1,910,"[900, 1000)"
27,47,45,28,0,0.0,0.0,11092470.598639457,0,46,147,2.2937294172388546e+24,6.178981819947751e+23,4.271477856461843e+23,1.5775225802578294e+24,0.0,1,0,"[0, 100)"
2,0,0,0,0,0.0,0.0,813376793.5,471530,0,2,2259609.8782034474,0.0,0.0,0.0,0.0,0,1000,
0,0,0,1,0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,2.3993170318419825e+19,0.0,0,1000,
1,1,0,0,0,0.0,0.0,810235555.5,0,1,2,1.7336832622200028e+16,3768876657000006.0,0.0,0.0,0.0,1,0,"[0, 100)"
5,2,3,8,0,0.0,0.0,90236178.5,114,1,18,4.513300530569592e+20,1.2021788242833844e+20,1.2055167630129917e+20,5.710473016273101e+20,0.0,0,860,"[800, 900)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1005400.8533587216,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1004557.4342015226,0.0,0.0,0.0,0.0,0,1000,
2,2,0,0,0,0.0,0.0,407141608.75,142,0,4,2.2730475876687936e+18,5.314089886556837e+17,0.0,0.0,0.0,1,0,"[0, 100)"
1,1,0,0,0,0.0,0.0,814284773.0,320,0,2,2.2383628752947433e+18,5.595907188236858e+17,0.0,0.0,0.0,1,0,"[0, 100)"
15,8,1,6,0,0.0,0.0,54151396.56666667,0,16,30,3.126647172691538e+21,1.920257224089681e+21,1.1307365541738316e+21,2.3330231811852138e+21,0.0,0,790,"[700, 800)"
4,1,0,0,0,0.0,0.0,325713379.2,46,1,5,1.2396596045188147e+18,1.1365237938343968e+17,0.0,0.0,0.0,1,0,"[0, 100)"
2,0,0,0,0,0.0,0.0,813514012.0,425336,0,2,2046703.6636515527,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.4500427072230246e+20,0.0,0.0,0.0,0.0,0,1000,
0,1,2,2,0,0.0,0.0,324909897.4,0,2,5,0.0,1.1952608383187501e+19,2.4126090165321097e+19,7.122734992705796e+20,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,15009403.176,0.0,0.0,0.0,0.0,0,1000,
5,4,0,0,0,0.0,0.0,181174060.44444445,40,1,9,3.783436536320034e+19,29713927.745391577,0.0,0.0,0.0,1,10,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,9.986946468020893e+22,0.0,0.0,0.0,0.0,0,1000,
1,0,0,2,0,0.0,0.0,542361581.6666666,1184811,0,3,2.894827397621521e+20,0.0,0.0,283709871.45418,0.0,0,1000,
